p;7931;3.4%
the;7830;3.4%
and;6968;3.0%
to;5417;2.3%
i;4918;2.1%
he;4897;2.1%
a;4804;2.1%
you;4048;1.7%
rsquo;4040;1.7%
ldquo;3980;1.7%
rdquo;3929;1.7%
of;3812;1.6%
it;3449;1.5%
that;3293;1.4%
in;3197;1.4%
was;2826;1.2%
his;2116;0.9%
at;2067;0.9%
her;1829;0.8%
but;1796;0.8%
s;1754;0.8%
not;1754;0.8%
with;1710;0.7%
she;1695;0.7%
for;1661;0.7%
him;1592;0.7%
had;1582;0.7%
on;1478;0.6%
is;1434;0.6%
all;1305;0.6%
what;1230;0.5%
as;1205;0.5%
have;1149;0.5%
t;1145;0.5%
be;1122;0.5%
me;1071;0.5%
so;907;0.4%
are;848;0.4%
there;812;0.4%
they;800;0.3%
my;791;0.3%
raskolnikov;785;0.3%
from;739;0.3%
were;713;0.3%
no;695;0.3%
this;686;0.3%
out;684;0.3%
your;668;0.3%
mdash;665;0.3%
up;657;0.3%
one;644;0.3%
them;595;0.3%
do;584;0.3%
if;584;0.3%
been;576;0.2%
would;575;0.2%
now;566;0.2%
by;563;0.2%
an;547;0.2%
will;547;0.2%
am;546;0.2%
how;532;0.2%
about;530;0.2%
know;529;0.2%
said;519;0.2%
too;505;0.2%
did;497;0.2%
could;496;0.2%
man;481;0.2%
come;479;0.2%
then;472;0.2%
don;465;0.2%
very;465;0.2%
only;457;0.2%
like;455;0.2%
we;452;0.2%
why;445;0.2%
though;445;0.2%
when;438;0.2%
or;429;0.2%
more;415;0.2%
again;410;0.2%
can;406;0.2%
who;405;0.2%
into;404;0.2%
some;404;0.2%
sonia;402;0.2%
has;385;0.2%
time;385;0.2%
see;383;0.2%
go;368;0.2%
here;366;0.2%
went;356;0.2%
once;348;0.2%
razumihin;347;0.1%
himself;342;0.1%
even;338;0.1%
which;336;0.1%
well;335;0.1%
dounia;325;0.1%
before;319;0.1%
thought;306;0.1%
ivanovna;304;0.1%
down;302;0.1%
say;297;0.1%
must;293;0.1%
something;293;0.1%
looked;293;0.1%
suddenly;293;0.1%
ve;291;0.1%
little;290;0.1%
such;287;0.1%
petrovitch;287;0.1%
day;286;0.1%
room;285;0.1%
nothing;285;0.1%
yes;283;0.1%
just;283;0.1%
last;280;0.1%
good;279;0.1%
lsquo;275;0.1%
ll;274;0.1%
still;270;0.1%
began;266;0.1%
away;263;0.1%
way;257;0.1%
face;250;0.1%
over;249;0.1%
eyes;246;0.1%
two;244;0.1%
came;242;0.1%
cried;241;0.1%
tell;239;0.1%
made;232;0.1%
first;232;0.1%
after;228;0.1%
door;227;0.1%
their;226;0.1%
right;220;0.1%
without;220;0.1%
mother;219;0.1%
should;217;0.1%
katerina;216;0.1%
looking;215;0.1%
almost;215;0.1%
svidriga;211;0.1%
perhaps;209;0.1%
old;208;0.1%
think;207;0.1%
get;207;0.1%
lov;207;0.1%
off;207;0.1%
porfiry;206;0.1%
where;206;0.1%
let;205;0.1%
woman;203;0.1%
moment;203;0.1%
make;200;0.1%
another;199;0.1%
shall;194;0.1%
us;194;0.1%
may;194;0.1%
take;194;0.1%
head;193;0.1%
back;191;0.1%
look;191;0.1%
other;191;0.1%
put;188;0.1%
asked;187;0.1%
quite;186;0.1%
going;185;0.1%
want;185;0.1%
seemed;185;0.1%
much;182;0.1%
long;181;0.1%
than;179;0.1%
same;178;0.1%
understand;178;0.1%
own;178;0.1%
chapter;176;0.1%
turned;175;0.1%
stood;175;0.1%
pyotr;173;0.1%
felt;172;0.1%
people;169;0.1%
course;168;0.1%
everything;168;0.1%
hand;167;0.1%
never;167;0.1%
took;167;0.1%
money;166;0.1%
believe;165;0.1%
might;164;0.1%
great;164;0.1%
myself;160;0.1%
oh;158;0.1%
heard;158;0.1%
saw;154;0.1%
because;153;0.1%
mind;152;0.1%
got;151;0.1%
better;150;0.1%
hands;150;0.1%
upon;147;0.1%
through;146;0.1%
anything;145;0.1%
our;143;0.1%
any;142;0.1%
left;141;0.1%
thing;138;0.1%
yesterday;138;0.1%
life;138;0.1%
always;137;0.1%
simply;137;0.1%
indeed;136;0.1%
word;135;0.1%
three;135;0.1%
heart;134;0.1%
won;133;0.1%
sister;132;0.1%
end;131;0.1%
give;131;0.1%
most;131;0.1%
really;131;0.1%
knew;130;0.1%
told;129;0.1%
yourself;128;0.1%
brother;127;0.1%
strange;127;0.1%
rodya;127;0.1%
question;124;0.1%
pulcheria;124;0.1%
herself;124;0.1%
alexandrovna;123;0.1%
house;122;0.1%
table;122;0.1%
whole;121;0.1%
every;121;0.1%
speak;118;0.1%
place;117;0.1%
round;117;0.1%
children;117;0.1%
minute;116;0.1%
romanovna;115;0.0%
avdotya;115;0.0%
god;114;0.0%
these;114;0.0%
young;113;0.0%
luzhin;113;0.0%
gave;112;0.0%
yet;112;0.0%
answered;112;0.0%
things;109;0.0%
